roll_date,contract_from,contract_to,adjustment_type,factor,flagged,flag_reason
2021-01-04,,Jan21,back,0.9882353188783596,False,
2021-03-01,Jan21,Mar21,back,1.0173301964788861,False,
2021-05-03,Mar21,May21,back,0.9826563078690081,False,
2021-07-01,May21,Jul21,back,1.03374103666833,False,
2021-09-01,Jul21,Sep21,back,1.0408769964715965,False,
2021-11-01,Sep21,Nov21,back,1.0020772746420412,False,
2022-01-03,Nov21,Jan22,back,1.0020506018147632,False,
2022-03-01,Jan22,Mar22,back,1.0291195621025409,False,
2022-05-02,Mar22,May22,back,0.9745066115565588,False,
2022-07-01,May22,Jul22,back,0.9858058008371652,False,
2022-09-01,Jul22,Sep22,back,0.9720473282978946,False,
2022-11-01,Sep22,Nov22,back,1.0065422379684803,False,
2023-01-03,Nov22,Jan23,back,0.9869186190499777,False,
2023-03-01,Jan23,Mar23,back,0.9642026139913725,False,
2023-05-01,Mar23,May23,back,1.0162586667986757,False,
2023-07-03,May23,Jul23,back,1.0229990800367985,False,
2023-09-01,Jul23,Sep23,back,0.9975621276615927,False,
2023-11-01,Sep23,Nov23,back,0.9790519517733145,False,
2024-01-02,Nov23,Jan24,back,1.0696439317389854,False,
2024-03-01,Jan24,Mar24,back,0.9987353879462901,False,
2024-05-01,Mar24,May24,back,1.0294310006540222,False,
2024-07-01,May24,Jul24,back,1.0030043627369873,False,
2024-09-03,Jul24,Sep24,back,1.0431936798747883,False,
2024-11-01,Sep24,Nov24,back,1.0265219212703516,False,
2025-01-02,Nov24,Jan25,back,1.0033165706461997,False,
2025-03-03,Jan25,Mar25,back,1.024558411414529,False,
2025-05-01,Mar25,May25,back,1.031662362610501,False,
2025-07-01,May25,Jul25,back,0.9898920422240466,False,
2025-09-02,Jul25,Sep25,back,0.9698665522684459,False,
2025-11-03,Sep25,Nov25,back,1.0340639804268068,False,
2026-01-02,Nov25,Jan26,back,0.9824561847063059,False,
2026-03-02,Jan26,Mar26,back,0.9479226291666938,False,
2026-05-01,Mar26,May26,back,0.9943215963483977,False,
2026-07-01,May26,Jul26,back,1.0124456954933974,False,
